Metrekare,Oda,Fiyat,Konum,Belde
79,2,37500,Ahmet Yesevi Mah.,Ataevler
100,3,28500,Çamlıca Mh.,Beşevler
200,5,30000,Konak Mah.,Beşevler
93,2,31500,Ahmet Yesevi Mah.,Ataevler
135,4,26500,Barış Mh.,Ataevler
100,3,30000,Balat Mah.,Ataevler
204,4,38000,Cumhuriyet Mah.,Ataevler
150,4,30000,Konak Mah.,Beşevler
290,7,72000,Beşevler Mh.,Beşevler
79,2,26500,Işıktepe Mh.,Ataevler
165,4,35750,Konak Mah.,Beşevler
100,3,13000,Fethiye Mah.,Ataevler
50,2,30000,Konak Mah.,Beşevler
250,5,70000,Odunluk Mah.,Beşevler
200,5,35000,Cumhuriyet Mah.,Ataevler
135,4,56000,Ahmet Yesevi Mah.,Ataevler
170,4,30000,Beşevler Mh.,Beşevler
178,5,32000,Fethiye Mah.,Ataevler
180,4,26000,Konak Mah.,Beşevler
150,4,30000,Konak Mah.,Beşevler
150,4,51000,Balat Mah.,Ataevler
135,4,25000,Konak Mah.,Beşevler
65,3,35000,Minareliçavuş Mh.,Ataevler
140,4,25000,Kültür Mh.,Beşevler
240,5,125000,Ahmet Yesevi Mah.,Ataevler
539,6,155000,Gümüştepe Mh.,Beşevler
100,3,17000,Çamlıca Mh.,Beşevler
110,4,26000,Konak Mah.,Beşevler
160,4,35000,Barış Mh.,Ataevler
380,5,55000,Konak Mah.,Beşevler
140,4,35000,Barış Mh.,Ataevler
60,2,26000,Balat Mah.,Ataevler
43,2,15000,Beşevler Mh.,Beşevler
202,5,65500,Odunluk Mah.,Beşevler
85,2,23000,Çamlıca Mh.,Beşevler
100,3,38000,Konak Mah.,Beşevler
75,2,25000,Beşevler Mh.,Beşevler
50,2,30000,Ahmet Yesevi Mah.,Ataevler
120,2,30000,Odunluk Mah.,Beşevler
115,3,29500,Barış Mh.,Ataevler
400,8,70000,Konak Mah.,Beşevler
70,2,35000,Balat Mah.,Ataevler
160,4,35000,Barış Mh.,Ataevler
170,4,27000,Beşevler Mh.,Beşevler
217,4,76000,Ahmet Yesevi Mah.,Ataevler
199,5,140000,Balat Mah.,Ataevler
120,3,53000,Balat Mah.,Ataevler
135,4,25750,Konak Mah.,Beşevler
113,2,38000,Ahmet Yesevi Mah.,Ataevler
90,3,21000,Konak Mah.,Beşevler
204,5,37500,Fethiye Mah.,Ataevler
113,3,19000,Konak Mah.,Beşevler
142,2,46000,Ahmet Yesevi Mah.,Ataevler
105,3,29000,Beşevler Mh.,Beşevler
95,2,25000,Çamlıca Mh.,Beşevler
150,4,38000,Konak Mah.,Beşevler
100,3,36000,Beşevler Mh.,Beşevler
135,4,28000,Konak Mah.,Beşevler
167,4,31500,Kültür Mh.,Beşevler
130,4,25000,Beşevler Mh.,Beşevler
120,3,20000,Beşevler Mh.,Beşevler
360,6,105000,Gümüştepe Mh.,Beşevler
110,3,37000,Balat Mah.,Ataevler
115,3,42000,Ahmet Yesevi Mah.,Ataevler
210,6,36000,Kültür Mh.,Beşevler
75,2,28000,Ahmet Yesevi Mah.,Ataevler
110,2,40000,Odunluk Mah.,Beşevler
140,1,36500,Beşevler Mh.,Beşevler
110,3,21000,Fethiye Mah.,Ataevler
160,3,45000,Odunluk Mah.,Beşevler
45,2,23500,Balat Mah.,Ataevler
95,2,42000,Gümüştepe Mh.,Beşevler
115,3,35000,Ahmet Yesevi Mah.,Ataevler
145,4,55000,Balat Mah.,Ataevler
206,4,47000,Çamlıca Mh.,Beşevler
346,6,160000,Gümüştepe Mh.,Beşevler
110,3,40000,Çamlıca Mh.,Beşevler
150,1,7500,Konak Mah.,Beşevler
165,4,25000,Konak Mah.,Beşevler
198,5,60000,Balat Mah.,Ataevler
160,4,45000,Konak Mah.,Beşevler
100,3,26500,Konak Mah.,Beşevler
450,5,150000,Gümüştepe Mh.,Beşevler
75,2,26000,Işıktepe Mh.,Ataevler
158,3,35000,Fethiye Mah.,Ataevler
75,2,26000,Balat Mah.,Ataevler
65,2,29000,Balat Mah.,Ataevler
110,4,19500,Cumhuriyet Mah.,Ataevler
67,2,35000,Barış Mh.,Ataevler
220,5,70000,Ahmet Yesevi Mah.,Ataevler
120,2,77000,Gümüştepe Mh.,Beşevler
100,4,20000,Beşevler Mh.,Beşevler
200,4,30000,Cumhuriyet Mah.,Ataevler
220,6,55000,Çamlıca Mh.,Beşevler
45,2,23000,Konak Mah.,Beşevler
267,5,41000,Beşevler Mh.,Beşevler
150,4,26000,Konak Mah.,Beşevler
85,2,30000,Ahmet Yesevi Mah.,Ataevler
120,3,16000,Konak Mah.,Beşevler
427,5,95000,Gümüştepe Mh.,Beşevler
120,4,25000,Fethiye Mah.,Ataevler
315,5,175000,Balat Mah.,Ataevler
165,4,28000,Konak Mah.,Beşevler
160,3,50000,Odunluk Mah.,Beşevler
150,4,26000,Barış Mh.,Ataevler
70,2,19000,Minareliçavuş Mh.,Ataevler
95,3,25000,Balat Mah.,Ataevler
120,4,20000,Fethiye Mah.,Ataevler
130,3,18500,Odunluk Mah.,Beşevler
190,4,33000,Barış Mh.,Ataevler
145,4,35000,Cumhuriyet Mah.,Ataevler
135,4,45000,Balat Mah.,Ataevler
145,4,42000,Konak Mah.,Beşevler
125,3,17000,Çamlıca Mh.,Beşevler
70,3,17000,Fethiye Mah.,Ataevler
180,5,45000,Çamlıca Mh.,Beşevler
70,2,10500,Minareliçavuş Mh.,Ataevler
110,3,15000,Kültür Mh.,Beşevler
294,5,60000,Odunluk Mah.,Beşevler
160,4,36500,Çamlıca Mh.,Beşevler
190,3,59000,Odunluk Mah.,Beşevler
427,5,115000,Gümüştepe Mh.,Beşevler
160,4,45000,Barış Mh.,Ataevler
140,4,26500,Konak Mah.,Beşevler
219,4,110000,Ahmet Yesevi Mah.,Ataevler
150,4,28000,Kültür Mh.,Beşevler
125,4,25750,Kültür Mh.,Beşevler
340,5,97000,Odunluk Mah.,Beşevler
110,4,18000,Konak Mah.,Beşevler
202,5,70000,Odunluk Mah.,Beşevler
197,5,60000,Konak Mah.,Beşevler
145,4,28000,Konak Mah.,Beşevler
150,5,40000,Barış Mh.,Ataevler
110,3,22000,Fethiye Mah.,Ataevler
215,5,35000,Barış Mh.,Ataevler
366,5,165000,Ahmet Yesevi Mah.,Ataevler
150,4,26500,Beşevler Mh.,Beşevler
100,3,25000,Cumhuriyet Mah.,Ataevler
65,2,21000,Fethiye Mah.,Ataevler
180,4,32500,Cumhuriyet Mah.,Ataevler
140,4,32000,Barış Mh.,Ataevler
190,6,35500,Fethiye Mah.,Ataevler
24,1,9500,Beşevler Mh.,Beşevler
155,4,65000,Çamlıca Mh.,Beşevler
220,5,66000,Balat Mah.,Ataevler
140,3,42000,Balat Mah.,Ataevler
85,3,23000,Beşevler Mh.,Beşevler
105,2,36000,Odunluk Mah.,Beşevler
220,4,26000,Fethiye Mah.,Ataevler
185,4,23000,Çamlıca Mh.,Beşevler
135,4,17000,Konak Mah.,Beşevler
150,4,47000,Çamlıca Mh.,Beşevler
175,3,48000,Cumhuriyet Mah.,Ataevler
86,3,50000,Odunluk Mah.,Beşevler
130,4,27000,Cumhuriyet Mah.,Ataevler
140,4,22000,Minareliçavuş Mh.,Ataevler
148,2,46000,Ahmet Yesevi Mah.,Ataevler
130,3,18000,Konak Mah.,Beşevler
110,3,23500,Fethiye Mah.,Ataevler
180,5,30000,Cumhuriyet Mah.,Ataevler
460,6,140000,Balat Mah.,Ataevler
85,2,30000,Balat Mah.,Ataevler
108,4,25000,Balat Mah.,Ataevler
220,5,150000,Ahmet Yesevi Mah.,Ataevler
55,2,29750,Balat Mah.,Ataevler
125,4,20000,Fethiye Mah.,Ataevler
56,2,22500,Ahmet Yesevi Mah.,Ataevler
55,2,27000,Ahmet Yesevi Mah.,Ataevler
140,4,23000,Kültür Mh.,Beşevler
150,4,35000,Cumhuriyet Mah.,Ataevler
150,4,46000,Çamlıca Mh.,Beşevler
207,4,85000,Balat Mah.,Ataevler
150,4,25000,Beşevler Mh.,Beşevler
160,3,53000,Odunluk Mah.,Beşevler
150,4,28500,Çamlıca Mh.,Beşevler
77,2,21000,Fethiye Mah.,Ataevler
165,4,45000,Ahmet Yesevi Mah.,Ataevler
160,4,35000,Balat Mah.,Ataevler
125,3,30000,Beşevler Mh.,Beşevler
100,3,30000,Beşevler Mh.,Beşevler
180,4,33000,Cumhuriyet Mah.,Ataevler
175,5,50000,Minareliçavuş Mh.,Ataevler
160,4,30500,Çamlıca Mh.,Beşevler
200,5,55500,Beşevler Mh.,Beşevler
165,4,54000,Balat Mah.,Ataevler
170,4,46000,Balat Mah.,Ataevler
87,3,36000,Barış Mh.,Ataevler
220,4,68000,Ahmet Yesevi Mah.,Ataevler
125,3,25000,Konak Mah.,Beşevler
457,7,175000,Odunluk Mah.,Beşevler
52,2,26000,Konak Mah.,Beşevler
290,5,140000,Ahmet Yesevi Mah.,Ataevler
220,6,75000,Çamlıca Mh.,Beşevler
270,6,65000,Cumhuriyet Mah.,Ataevler
125,4,26000,Cumhuriyet Mah.,Ataevler
140,4,23000,Fethiye Mah.,Ataevler
130,4,22500,Fethiye Mah.,Ataevler
200,4,28500,Konak Mah.,Beşevler
175,3,48000,Cumhuriyet Mah.,Ataevler
365,5,160000,Balat Mah.,Ataevler
185,4,65000,Ahmet Yesevi Mah.,Ataevler
160,3,53000,Odunluk Mah.,Beşevler
176,4,35000,Beşevler Mh.,Beşevler
71,2,31000,Ahmet Yesevi Mah.,Ataevler
165,4,29000,Barış Mh.,Ataevler
140,4,30000,Barış Mh.,Ataevler
50,1,10500,Beşevler Mh.,Beşevler
95,3,20000,Beşevler Mh.,Beşevler
250,5,35000,Çamlıca Mh.,Beşevler
175,4,30000,Kültür Mh.,Beşevler
135,4,35000,Balat Mah.,Ataevler
143,4,33000,Cumhuriyet Mah.,Ataevler
130,4,35000,Kültür Mh.,Beşevler
120,4,22500,Fethiye Mah.,Ataevler
100,3,20000,Konak Mah.,Beşevler
270,6,62000,Cumhuriyet Mah.,Ataevler
140,4,39000,Balat Mah.,Ataevler
190,4,75000,Balat Mah.,Ataevler
140,4,26000,Konak Mah.,Beşevler
150,4,25000,Beşevler Mh.,Beşevler
74,2,25000,Minareliçavuş Mh.,Ataevler
76,2,36000,Odunluk Mah.,Beşevler
150,4,58500,Beşevler Mh.,Beşevler
135,4,39000,Ahmet Yesevi Mah.,Ataevler
130,4,26000,Cumhuriyet Mah.,Ataevler
105,3,40000,Barış Mh.,Ataevler
148,3,40000,Konak Mah.,Beşevler
70,2,29000,Odunluk Mah.,Beşevler
156,4,27000,Konak Mah.,Beşevler
98,2,35000,Balat Mah.,Ataevler
166,4,48000,Konak Mah.,Beşevler
120,4,17500,Fethiye Mah.,Ataevler
160,4,33000,Cumhuriyet Mah.,Ataevler
128,3,35000,Beşevler Mh.,Beşevler
148,4,44000,Kültür Mh.,Beşevler
220,5,60000,Ahmet Yesevi Mah.,Ataevler
360,5,155000,Balat Mah.,Ataevler
87,3,36500,Barış Mh.,Ataevler
126,3,36000,Balat Mah.,Ataevler
150,4,32000,Cumhuriyet Mah.,Ataevler
100,3,17000,Konak Mah.,Beşevler
100,3,16000,Çamlıca Mh.,Beşevler
380,6,65000,Balat Mah.,Ataevler
130,3,23000,Konak Mah.,Beşevler
85,2,30000,Ahmet Yesevi Mah.,Ataevler
135,4,28000,Kültür Mh.,Beşevler
180,4,46000,Balat Mah.,Ataevler
135,4,30000,Beşevler Mh.,Beşevler
92,2,27500,Ahmet Yesevi Mah.,Ataevler
647,9,150000,Balat Mah.,Ataevler
265,6,70500,Odunluk Mah.,Beşevler
170,4,27500,Beşevler Mh.,Beşevler
102,3,40000,Ahmet Yesevi Mah.,Ataevler
210,3,50000,Balat Mah.,Ataevler
